"","cat.1_vial.1","cat.2_vial.1","cat.3_vial.1","cat.4_vial.1","cat.5_vial.1","cat.6_vial.1","cat.7_vial.1","cat.8_vial.1","cat.1_vial.2","cat.2_vial.2","cat.3_vial.2","cat.4_vial.2","cat.5_vial.2","cat.6_vial.2","cat.7_vial.2","cat.8_vial.2","cat.1_vial.3","cat.2_vial.3","cat.3_vial.3","cat.4_vial.3","cat.5_vial.3","cat.6_vial.3","cat.7_vial.3","cat.8_vial.3"
"met307",0.4592,0.512,0.4722,0.6416,0.8806,0.9984,1.0016,1.0668,0.4784,0.1591,0.4625,0.841,0.5199,0.7202,0.567,0.8973,8.1172,6.8676,5.8674,8.3984,5.8809,9.0446,10.5213,7.633
"met308",0.5926,0.6607,1.1121,1.4818,1.5606,1.3946,0.5879,1.3738,0.9014,1.0384,0.8442,1.6931,1.5395,1.5305,0.4823,1.6862,0.7574,0.6677,1.2131,1.549,0.519,0.8026,0.8271,1.5605
"met309",0.6513,0.536,0.649,0.6589,0.8272,0.9482,1.1993,0.827,0.7619,0.5186,0.6256,0.7044,0.6706,0.8667,1.2642,0.8728,11.677,10.7875,12.9298,12.0698,10.9117,10.5861,14.0823,15.9284
"met310",1.3456,2.1314,0.278,0.7596,0.5718,1,1.3446,1.1256,1.2606,2.2769,0.2151,0.2412,0.4078,1.2984,1.107,0.5638,0.5521,1.9274,0.5845,0.2151,0.7918,1.1141,1.0415,0.4527
"met311",0.3556,0.4041,0.4407,0.9551,0.5363,0.8118,1.1827,0.9818,0.8586,0.3962,0.8661,1.3205,0.6246,0.8753,0.7673,1.1002,3.7838,5.6659,4.6435,5.6077,6.9646,4.936,6.3449,3.9536
"met312",1.0227,0.7584,0.7792,0.7939,1.5266,1.285,1.3229,0.98,0.9994,0.7773,0.6929,1.1452,1.335,1.2447,1.3342,1.0006,0.9704,0.7341,0.7238,1.082,0.8763,1.2197,1.528,0.892
"met313",0.8922,1.1263,1,1.2947,1.1428,0.9382,0.702,1.1334,0.8863,1.1382,0.9882,1.4686,1.1504,0.9521,0.6374,1.1402,0.821,1.1037,1.0297,1.3622,1.1232,0.9172,0.6911,1.1413
"met314",0.9224,1.228,1.0009,1.0927,1.2153,0.7899,0.4836,0.9947,0.9184,1.2517,0.9822,1.2255,1.0247,0.7962,0.5493,0.9991,0.9192,1.3822,1.0147,1.1423,1.0441,0.7311,0.5133,1.1884
"met315",0.766,0.898,1.2138,0.3477,0.881,0.9111,2.2143,1.5167,0.3477,0.3477,0.7998,0.3477,0.3477,1,0.3477,1.024,0.3477,0.8584,0.7878,0.3477,0.6884,1.4668,1.0224,0.3477
"met316",1.1257,0.9332,0.9391,0.9729,1.2715,0.9913,0.78,1.0828,1.2027,0.9378,0.9093,1.1917,1.3021,1.0497,0.7732,1.0638,1.1745,0.9695,0.9417,1.0087,1.0502,1.031,0.8294,1.0198
"met317",2.1525,0.9338,1.0259,1.0285,0.3501,0.3073,2.4493,1.0207,1.9632,0.9793,1.0357,1.5296,0.2941,0.3452,2.4314,0.9032,2.2088,0.9123,0.7931,1.1739,0.3757,0.3431,2.4267,1.2382
"met318",1.7383,0.2627,1.1277,0.7542,1.6575,1.0341,0.6825,0.7771,1.1972,1,0.2627,1.1541,2.5175,1.2393,1.0247,0.6968,1.5959,0.6343,1.0971,0.5536,0.9583,0.6937,0.7049,0.6911
"met319",0.9621,0.5922,0.743,0.6478,0.6288,1.0379,1.4295,1.1176,1.6708,0.6837,0.6431,0.8686,0.633,1.1441,1.3115,0.8607,1.0465,0.6724,0.6342,0.711,0.6423,1.0456,1.6008,0.9603
"met320",1.522,0.6661,1.3463,0.7051,0.961,0.7753,0.8915,1.379,2.032,1.1223,0.881,1.0756,0.9549,1.4464,1.139,1.2668,1.3857,0.5928,0.9245,0.7494,0.5917,0.8799,0.9742,1.126
"met321",0.8725,1.8575,2.1078,0.8451,0.9899,0.7169,1.4302,1.1872,0.8884,1.9104,2.1547,0.9683,1.0422,0.8527,1.4409,1.0278,1.1519,1.7753,2.1238,0.8203,0.9734,0.8525,1.0101,1.1459
"met322",0.1842,0.543,1.6409,1.2614,0.483,1.3452,0.9375,0.5285,0.4815,1.0212,3.399,2.051,0.9457,1.7029,1.1763,1,0.5841,0.8829,2.5649,1.55,0.7047,2.1232,1.5782,1.9837
"met323",0.7464,1.0356,1.4017,0.8895,0.6852,0.7452,1.1205,1.0101,0.7729,0.9974,1.5116,1.115,0.6693,0.8443,0.9941,1.0041,1.0017,0.9983,1.4023,0.8995,0.7109,0.9387,0.8238,1.0278
"met324",0.55,1.1152,1.899,2.0424,0.432,0.7373,0.8773,0.5986,0.2901,1.2146,1.6513,0.6121,0.182,0.4591,0.6307,0.2003,0.8466,1.2817,2.2769,1.7988,1.0159,1,1.0233,1.0689
"met325",1.8799,2.0288,0.9885,0.9094,0.9301,1.0115,1.2929,0.596,1.8478,2.6517,0.9479,1.0487,0.8232,0.7273,1.3887,0.6915,1.527,1.9052,1.1233,0.5952,0.7085,0.8149,1.4911,0.6063
"met326",1.039,0.9301,1.2181,1.0495,0.9665,1.0397,1.0666,0.91,0.9973,0.9364,1.2165,1.1098,1.018,1.0883,1.027,0.8343,1.0027,0.9308,1.1525,1.1141,0.9399,1.0923,1.0418,0.8742
"met327",0.9643,0.954,0.958,1.0688,1.0206,1.1081,1.2704,1.0091,0.9259,0.9299,0.9401,1.0728,1.0484,1.128,1.2182,0.9895,0.9909,0.9697,0.8995,1.0192,1.0335,1.1336,1.2826,0.9852
"met328",0.9879,0.5323,0.8732,0.6311,0.859,1.1849,1.3801,1.2428,1.653,0.6031,0.6802,0.8495,0.7652,1.2821,1.318,1.0925,1.0121,0.6727,0.7552,0.7939,0.7719,1.1245,1.4094,1.0876
"met329",1.2321,1.2443,1.0157,0.9843,0.7456,0.8925,1.1322,0.7645,1.1079,1.2892,1.089,1.2405,0.6943,0.9416,1.2822,0.7856,1.1377,1.3707,0.9165,0.7899,0.7723,0.9236,1.3153,0.9078
"met330",1.302,0.4727,1.1531,0.9259,0.5268,0.4285,0.808,1.1019,2.9698,1.1491,1.1639,1.5952,0.6406,1.1758,1.0741,1.1497,0.7397,0.4986,0.545,0.3291,0.3877,0.6839,0.7375,0.6691
"met331",0.3834,0.5758,1.1045,0.9587,0.4589,0.8964,0.8012,0.4907,0.3834,0.7509,1.6908,1.3636,0.6672,1.2755,0.9441,0.7727,0.3834,0.5838,1.7551,1.0413,0.3834,1.2443,1.1149,1.295
"met332",1.2137,0.4591,1.2749,0.5501,0.6385,0.4865,0.6858,1.27,1.9494,1.083,0.7536,1.0454,0.6493,1.2476,1.1057,1.1586,0.8907,0.3883,0.6633,0.3489,0.3219,0.5257,0.6723,0.9546
"met333",1.4979,0.8116,1.6743,0.9502,0.8392,0.8119,1.1804,1.5398,2.4167,1.6656,1.249,1.4437,1.0424,1.6993,1.6963,1.7017,0.9514,0.6349,0.9549,0.732,0.4946,0.8145,1.1532,0.9576
"met334",0.9675,0.406,0.406,0.406,0.8052,0.406,1.109,0.9333,1.9198,0.406,0.406,0.8742,0.5503,1.0325,1.2049,0.7745,0.406,0.406,1.3547,0.406,0.6422,0.7578,1.5449,0.8393
"met335",0.8471,0.1967,0.989,0.4369,0.7007,0.1967,1.2066,1.2882,1.9412,0.1967,0.6982,1.0277,0.1967,0.8705,0.9405,1.127,0.1967,0.1967,0.8705,0.1967,0.5624,1,1.4491,0.8228
"met336",1.1833,0.87,1,0.6953,0.5845,1.0933,1.4092,1.038,1.1446,1.0203,0.7144,0.7015,0.5949,0.5845,0.7842,1.4115,0.6603,1.0383,0.761,0.9476,0.8574,0.7683,0.836,1.0933
"met337",0.9989,1.5927,1.0011,0.7041,0.9932,1.6414,0.8457,1.4751,1.0811,1.8134,0.9066,0.8974,0.7467,1.6879,0.9665,1.5034,1.1289,1.6618,0.9759,0.78,0.8191,1.6721,1.054,1.4451
"met338",0.7247,0.9685,1.2237,1.2185,0.9259,1.4105,0.9034,1.0386,0.7092,1.0009,1.1444,1.3097,0.9866,1.4019,0.8922,0.9818,0.7978,1.0034,1.208,1.2692,0.896,1.3166,0.8947,0.9908
"met339",1.2929,1.453,0.9679,1.0065,0.5995,0.9075,1.4603,0.8813,1.3029,1.4873,1.0309,1.0071,0.5732,0.8596,1.4992,0.9139,1.4749,1.8677,0.9935,1.1476,0.6019,0.8542,1.8523,0.9466
"met340",1.5719,0.6011,1.366,1.4282,0.5653,0.4519,0.9936,1.158,4.1351,1.3683,2.1244,2.8667,0.5858,1.0064,0.8789,1.3882,0.6548,0.8164,0.6312,0.4932,0.5573,0.678,0.6926,0.9107
"met341",1.0094,0.6089,0.8162,0.707,0.7044,0.9227,1.2677,1.2036,1.6418,0.728,0.7032,0.9069,0.6679,1.0681,1.1646,1.0502,1.0245,0.7029,0.74,0.7764,0.6838,0.9867,1.3998,1.0685
"met342",0.7581,1.1848,1.3488,0.9134,0.7636,0.6608,1.5028,1.1036,0.7387,1.1482,1.5615,1.1622,0.7456,0.722,1.2783,0.9856,1.0144,1.0815,1.4544,0.9598,0.7048,0.8025,1.1775,0.9008
"met343",2.5235,1.368,0.9858,0.4617,2.2765,0.6912,0.4088,0.8259,2.5818,1.8466,1.0142,0.4709,1.6373,0.7348,0.525,1.0461,2.2188,1.7994,0.8892,0.6277,2.4074,0.7838,0.5648,1.035
