"","cat.1_vial.1","cat.2_vial.1","cat.3_vial.1","cat.4_vial.1","cat.5_vial.1","cat.6_vial.1","cat.7_vial.1","cat.8_vial.1","cat.1_vial.2","cat.2_vial.2","cat.3_vial.2","cat.4_vial.2","cat.5_vial.2","cat.6_vial.2","cat.7_vial.2","cat.8_vial.2","cat.1_vial.3","cat.2_vial.3","cat.3_vial.3","cat.4_vial.3","cat.5_vial.3","cat.6_vial.3","cat.7_vial.3","cat.8_vial.3"
"met581",0.5793,1.7423,1.4936,1.0097,0.8742,0.8182,1.6298,0.9619,0.5983,1.7668,1.5748,1.2462,0.874,0.944,1.5018,0.895,0.7425,1.7235,1.4892,1.0595,0.8386,0.9903,1.1863,0.8906
"met582",0.7062,1.2662,1.5335,1.1517,1.0103,0.6216,0.8062,1.0393,0.7158,1.2517,1.537,1.2465,1.0057,0.6874,0.7842,0.9796,0.8722,1.2582,1.619,1.1895,0.9943,0.7525,0.6937,0.9592
"met583",1.0429,1.0243,1.1393,1.0168,1.068,0.9998,1.0711,0.9873,1.3035,0.9722,0.9053,1.0751,1.0484,1.0338,0.8997,0.9311,0.9909,1.0965,1.0395,1.0002,1.036,0.8699,1.0158,0.9346
"met584",0.8696,1.2325,1.3278,1.1984,0.958,0.7903,0.951,1.1216,0.9012,1.2086,1.3429,1.294,0.9535,0.8548,0.9415,1.0463,1.0638,1.2352,1.3583,1.2472,0.9131,0.8772,0.8204,1.0421
"met585",0.7126,1.2991,0.6411,1.1108,1.9679,1,0.7003,0.7656,1.1954,1.0431,1.1404,1,1.5162,0.7755,0.3753,0.772,0.3753,1.289,0.7731,1.1815,1.7158,1.3511,0.3875,0.9202
"met586",0.7337,1.0574,1.1859,0.8237,0.8651,0.897,1.1967,1.0713,0.7474,1.0881,1.2486,0.9871,0.8171,0.9966,1.0484,0.9977,0.9174,1.0503,1.1751,0.8497,0.8129,1.0897,0.8676,1.0023
"met587",0.2888,0.7419,1.7242,1.2215,0.4632,1.114,1.1573,0.5782,0.4432,1.0965,3.072,1.8352,0.7643,1.4403,1.3122,0.8912,0.58,0.9419,2.8862,1.3049,0.6246,1.7103,1.7484,1.707
"met588",1.6565,1.7893,0.9465,1.6647,2.7611,0.8468,0.8481,1.0438,1.6056,0.9002,1.5071,1.1474,2.7507,1.2391,0.7835,0.9562,1.4017,1.1805,1.3456,1.8441,2.3762,0.9552,0.6711,0.4
"met589",1.2007,1.1799,0.9873,1.2138,2.1814,1.0127,0.8831,0.6975,1.3642,1.1349,1.1763,1.5471,2.1441,0.9781,0.8373,0.6877,1.1813,1.0923,0.8779,1.3679,2.0175,1.0482,0.5867,0.6121
"met590",0.9982,1.0626,1.0736,0.9543,2.4564,0.7057,0.6464,0.5728,1.248,1.2221,1.1138,1.3927,2.4603,0.7276,0.5211,0.4683,1.0483,1.0018,0.9433,1.427,2.0703,0.947,0.3289,0.426
"met591",1.0812,1.2901,0.9295,0.9741,2.3297,0.8194,0.6778,0.5614,1.274,1.2919,1.0829,1.2937,2.221,0.7884,0.6466,0.5599,1.3855,1.017,1,1.1895,2.2726,0.8835,0.5038,0.6238
"met592",0.9947,1.0604,1.0969,0.9609,1.0284,0.8143,1.5989,0.9023,1.1326,0.943,0.9751,1.068,1.0439,0.9689,1.6409,0.8272,1.0283,1.0247,0.8853,0.9684,0.9271,0.8219,1.6948,0.8679
"met593",2.1738,1.1736,1.3671,0.6437,3.6615,1.0562,0.2057,0.6166,2.2279,1.301,1.4096,0.7072,3.1595,1.0595,0.2272,0.7797,2.0744,1.3073,1.3118,0.7854,3.4013,1.0123,0.2213,0.708
"met594",1.2333,0.6528,0.9073,0.9308,0.8074,0.7026,1.0394,1.144,1.6178,0.933,0.7616,0.9899,0.7853,1.0333,1.065,1.0101,1.265,0.8094,0.8244,0.6275,0.8141,0.878,1.042,1.0594
"met595",0.6794,1.5281,1.1133,0.769,0.8311,0.8419,2.0376,0.9463,0.7766,1.6468,1.1603,0.9854,0.8532,1.0282,1.9161,0.8744,0.972,1.7069,1.3165,0.9164,0.8269,1.0146,1.4911,0.9048
"met596",1.2023,1.1798,0.8672,0.924,0.7128,0.3458,0.9131,1,2.2165,1.2333,0.7536,1.2493,0.6985,0.3458,1.0127,0.9215,1.6411,1.1397,0.7887,0.8131,0.5777,0.3822,1.0886,0.9241
"met597",1.053,0.4348,1.6328,0.5212,0.2281,1.4574,0.7172,1.3732,1.0635,0.4601,1.6592,0.5807,0.2075,1.4918,0.6992,1.365,1.0088,0.4413,1.6162,0.5629,0.2179,1.4076,0.7546,1.4326
"met598",1.1569,0.386,0.6539,0.6019,1.8403,2.9705,0.7549,2.0197,1.1149,0.4799,0.7184,0.5417,1.4798,2.9646,1.0087,2.5069,0.9219,0.4387,0.4504,0.699,1.9182,2.8224,0.9913,2.1457
"met599",0.5284,0.2595,0.2595,0.2595,1.2518,0.9335,0.2595,0.2595,0.2595,0.2595,0.2595,0.2595,1.111,1.3863,0.2595,0.2595,0.45,0.2595,0.2595,0.2595,0.8892,1.0665,0.2595,0.2595
"met600",1.6931,0.4729,0.9033,0.5589,2.0968,2.1235,0.7782,0.7976,1.9003,0.427,1,0.658,1.9406,2.4344,0.8565,0.8508,1.764,0.6407,0.774,0.7617,2.8279,2.6116,0.427,0.7756
"met601",0.7583,0.1848,0.2541,0.1848,0.9216,1.0837,0.1848,0.1848,1.2202,0.1848,0.1848,0.1848,1,1.0775,0.1848,0.2516,1.0613,0.1848,0.3596,0.1848,0.5716,0.9672,0.1848,0.1848
"met602",1.3282,0.5697,1.0664,0.9721,1.9533,2.1549,0.5784,0.8644,1.5446,0.5733,1.058,0.8328,2.0167,2.299,0.5058,0.877,1.3695,0.6976,1.0279,0.7985,2.0159,2.3141,0.6256,0.7924
"met603",1.1123,0.9935,0.9632,1.0309,0.9565,1.0617,1.0334,0.9822,1.1014,0.9813,0.9716,1.0875,0.9772,1.0737,1.0065,0.9144,1.0753,1.0131,0.922,1.0519,0.9469,1.0891,1.0251,0.9364
"met604",0.6206,1.0772,1.1424,0.8648,0.7413,0.7978,0.9911,1.7812,0.7696,1.0716,0.8636,1.0685,1.252,0.6406,1.0206,1.4644,1.009,1.2753,0.9431,1.1206,0.753,0.8875,0.8118,1.6205
"met605",1.1043,0.801,0.9635,1.1807,1.4575,0.9991,0.7544,1.9839,1.143,0.9043,0.9319,1.3435,1.3017,1.0688,0.7815,1.8976,1.1194,0.806,0.9281,1.3226,1.3051,1.0009,0.7837,1.9935
"met606",2.1784,1.2038,0.7285,0.9151,2.6088,0.6115,1.0236,0.6827,2.0884,1.4186,0.7058,1,1.8423,0.6401,1.2497,0.714,2.0979,1.2911,0.6681,1.0834,2.1923,0.6137,1.2067,0.7771
"met607",1.211,0.9873,1.4082,1.3382,1.1731,1.052,1.1139,1.0127,1.748,1.6854,1.8353,2.0279,1.7075,1.2202,1.4381,1.3906,0.227,0.4071,0.4747,0.6202,0.722,0.2743,0.5646,0.4988
"met608",1.7604,1.3099,0.6491,0.7133,1.3487,0.9125,0.9735,0.7988,1.5892,1.1807,0.5205,0.5572,1.1929,0.8393,0.86,0.686,2.2358,1.5699,0.8762,0.8724,1.3706,1.2824,1.4036,1.0265
"met609",1.1562,1.4157,0.6494,0.4337,1.3866,0.6077,0.2881,1.2899,0.6257,1.0128,0.3431,0.4908,0.9873,0.4034,0.1581,0.9267,1.7068,1.8802,1.2426,1.0933,1.407,1.0343,1.0862,1.4846
"met610",1.8344,1.2541,0.5336,0.5463,2.6559,0.796,0.4411,1.5261,0.844,0.8068,0.194,0.6396,1.6155,0.4583,0.2008,1.0202,2.6102,1.7922,1,1.6653,2.0864,1.1683,1.4589,2.1232
"met611",1.3701,1.5032,0.7317,0.8346,1.2145,0.8576,0.9192,1.0258,1.1435,1.3027,0.8443,1,1.0973,1.1227,0.9554,1.214,1.7915,1.3974,0.9772,0.9425,1.0692,1.2784,0.9692,1.0388
"met612",1.7664,0.8851,1.2835,0.9817,1.3776,2.1645,1.0318,0.905,1.7432,0.9023,1.1696,0.9775,1.475,2.4654,1.0063,0.804,1.7551,0.8673,1.1825,0.9937,1.4629,2.2381,0.989,0.9101
"met613",0.8076,1.0285,0.8737,1.251,0.9716,0.8359,0.9064,1.3046,1.0739,1.2933,1.0415,1.4815,0.8803,0.7751,0.8615,1.0305,0.675,1.0305,0.7568,1.1799,1.0809,0.9186,0.9371,1.2125
"met614",1.041,0.8976,1.1009,1.2254,1.5329,1.1474,0.6734,0.8667,1.1249,0.9244,0.999,1.2368,1.572,1.1799,0.6653,0.8967,1.1147,1.001,1.0827,1.1345,1.348,1.1066,0.723,0.7924
"met615",0.892,1.0628,1.0136,0.9992,1.1948,0.929,1.0529,0.9945,0.8627,1.0503,1.0031,1.0578,1.1984,1.002,1.0235,0.8986,0.8621,1.0934,0.9392,1.0449,1.18,0.9731,1.0008,0.9484
"met616",0.925,0.9768,1.4975,1.2844,1.2288,1.0499,0.5102,0.8776,1.1465,1,1.4345,1.2088,1.3843,1.1388,0.6345,0.8961,0.8587,1.1491,1.4416,1.1916,1.0518,1.076,0.6304,0.7668
"met617",0.6392,1.051,1.3591,1.1842,1.5413,0.9299,0.9098,0.8987,0.6233,1.1223,1.2505,1.1728,1.5215,0.9322,0.932,0.9113,0.7265,1.0801,1.3085,1.1033,1.2925,0.9533,1.0385,0.874
"met618",0.9854,0.9763,0.8945,0.8858,1.5075,1.1525,1.0055,1.0304,0.8854,0.8944,0.8397,1.2024,1.3811,1.1381,0.9197,0.9445,0.9842,0.9501,0.8484,1.0767,1.2263,1.1292,0.9574,1.0282
"met619",1.0248,1.3654,0.8444,1.1526,2.3591,1.1589,0.5818,0.7795,1.1218,1.3476,0.7731,0.9752,2.2516,1.3016,0.5693,0.8242,1.1115,1.3966,0.7141,1.3505,2.1868,1.2314,0.6189,1.2274
"met620",1.087,0.9244,1.0629,0.9555,1.2561,1.0893,0.9276,0.9767,0.9787,1.033,0.9874,1.0552,0.9312,1.0884,1.2039,1.2999,1.0027,0.9228,1.0326,1.2033,0.9456,1.0043,0.9973,1.096
"met621",0.6639,0.6639,0.6639,0.6639,0.6639,0.6639,0.6639,0.6639,0.6639,0.6639,0.6639,0.6639,0.6639,0.6639,0.6639,0.6639,1.3123,0.7501,1.0934,1,0.9856,1.4567,0.754,0.6639
"met622",0.6814,0.7338,0.7165,1.2419,0.8925,0.9118,0.9311,0.9758,0.9445,0.8441,0.7756,1.6932,1.0458,1.0945,1.1045,1.3695,1.1533,1.4635,1.1722,1.0702,1.2434,1.2468,1.5572,1.0242
"met623",0.9773,0.568,1,5.816,1.8352,0.7391,1.5045,7.1549,1.3877,0.7048,1.4465,16.5572,2.3944,0.8058,1.2349,6.6876,0.7319,0.7453,0.7153,8.6622,1.4919,0.8755,1.386,5.4045
"met624",1.0497,0.9584,0.8363,0.9122,1.5069,1.4394,1.1374,0.9557,1.0695,0.9469,0.8304,1.0905,1.2212,1.4815,1.1071,1.134,0.9663,0.9648,0.8218,1.1658,1.3779,1.3699,1.1202,1.0337
"met625",0.9693,0.854,1.2693,1.5126,0.8397,1.3365,0.6647,1.0096,0.9642,0.9278,1.2447,1.7009,0.8206,1.3325,0.6831,1.0136,1.0521,0.966,1.3164,1.6094,0.792,1.3399,0.7359,0.9905
"met626",0.9013,1.2411,1.2915,1.1918,1.6194,0.8146,0.7541,1.0998,0.7105,1.2594,1.1763,1.3313,1.0868,0.9132,0.8878,1.4326,0.8189,1.165,1.2447,1.5879,1.2545,0.7245,0.7879,1.1254
"met627",1.2203,1.7263,0.4676,1.142,1.0025,0.7766,1.3232,0.9853,0.9557,1.6021,0.3654,0.8992,0.9436,0.7521,1.4016,0.7466,1.3731,2.3315,0.6329,1.4913,1.7617,0.9963,2.355,0.9975
"met628",0.841,0.9197,0.59,1.2255,1.1549,1.75,1.4209,1.2167,0.7758,0.9963,0.7113,1.4186,1.0037,1.7641,1.2512,1.2182,0.7119,0.9072,0.5236,1.2036,1.0657,1.7812,1.501,1.1895
"met629",1.144,1,1.1009,0.4229,1.8064,1.3181,0.6067,0.6515,1.2066,0.9192,1.4039,0.6994,2.0458,1.362,0.7179,0.9628,1.377,0.4229,1.123,0.5275,1.6238,1.527,0.9162,0.5821
"met630",0.6217,0.3549,1.019,1.7256,0.8069,0.981,0.1999,1.1302,1.6785,1.2248,1.6917,1.928,0.4154,0.7936,0.8758,2.0875,1.1145,1.1698,1.072,1.5347,0.5119,0.7126,0.6543,0.801
"met631",0.8281,0.9313,0.8369,0.9518,1.0135,1.0456,1.4006,0.7217,0.8042,0.9366,0.8607,0.9775,1.0544,1.0729,1.2363,0.6907,1.0032,0.9968,0.9256,1.0145,1.0607,1.2151,1.2366,0.7455
"met632",1.0321,0.9126,2.5054,1.1322,1.6624,0.8595,0.9599,2.7585,1.1105,0.9844,3.1175,1.2177,1.4842,0.9128,0.7738,2.5207,0.9171,0.9559,2.2221,1.0303,1.5381,0.831,0.9542,2.4312
"met633",0.963,0.8804,0.711,0.7573,1.1527,0.9433,0.8678,1.1531,0.9562,0.9902,0.7785,1.0534,0.9073,1.0934,1.139,1.468,0.9952,0.9144,0.8501,1.3302,1.2859,1.1285,1.2797,1.2966
"met634",0.8783,0.6682,1.0213,1.0288,1.3895,0.9787,0.8513,2.4002,1.0226,0.7586,1.119,1.9107,1.1632,0.9304,0.7924,2.0872,0.8947,0.7508,1.0541,1.5428,1.1299,0.9271,0.9509,2.736
"met635",1.1838,0.6939,1.1795,0.7828,0.9627,0.8225,1.5207,1.873,1.2802,0.8665,1.1254,1.0128,0.9872,0.6997,1.0173,1.5075,0.9058,0.6156,1.1332,0.6222,0.9809,0.6098,1.4699,1.5136
"met636",0.6709,1.0419,1.5838,0.8623,1.0231,1.0868,0.991,1.4478,0.5785,1,1.3398,0.929,0.8947,1.2972,0.8402,1.3199,0.684,1.0338,1.3163,0.8359,1.0351,0.9331,0.9273,1.5294
"met637",1.1136,0.4406,0.8921,0.9877,2.8675,1.2069,0.6174,2.8364,1.047,0.5466,0.7165,3.2689,2.12,1.1795,0.7405,3.7004,1.2198,0.5307,0.7509,2.5867,1.684,1.0123,0.5426,3.2447
"met638",2.263,1.0025,0.9802,0.8959,2.0676,1.5108,0.8452,0.9195,2.4283,0.9975,1.184,0.9788,1.9881,1.6252,0.8619,0.8,2.3012,0.9439,1.0218,1.0078,2.2567,1.7143,0.8768,1.0748
"met639",0.8195,1.1659,0.7917,1.2954,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.7917,0.923,1.077,0.7917,0.7986,0.7917,0.7917,0.7917
"met640",0.9177,1.3136,0.7845,1.0587,1.1107,0.7201,1.0035,1.1771,0.8682,1.2817,0.7538,1.0591,1.191,0.8082,0.9825,1.0627,0.9009,1.3461,0.7979,1.0707,1.1046,0.7746,0.9966,1.1022
"met641",1.0979,1.1613,1.052,0.9182,0.9428,1.0103,0.788,1.0934,0.8898,1.1043,0.6395,1.1222,0.9396,1.0123,0.9183,1.1362,1.132,0.8215,0.7741,0.9897,0.9055,0.9289,0.9502,1.0484
"met642",1.5228,0.6287,0.7547,1.0187,0.9813,1.3056,1.0488,1.7445,1.9479,0.831,0.7164,2.7064,1.0406,1.3176,1.2732,1.6188,1.0273,0.503,0.4247,0.9526,0.7779,0.7889,0.7347,1.4228
"met643",1.0258,1.0244,0.901,1.0695,1.286,0.7884,1.5343,0.7286,1.0049,0.9951,0.8737,1.108,1.2848,0.8186,1.4956,0.6895,1.0165,1.0181,0.8437,1.0942,1.2693,0.8155,1.5106,0.683
"met644",1.2313,1.6336,0.9927,0.8726,1.5343,1.1545,0.7055,1.5375,1.1837,1.5928,0.9942,0.8032,1.4635,1.1322,0.7203,1.4119,1.3342,1.6932,1.0058,0.8555,0.8077,1.2705,0.7755,1.5037
"met645",0.7784,1.0021,1.1916,0.9306,1.13,1.0571,1.0632,0.9594,0.6331,1.0031,1.1,1.0665,1.0861,1.1009,0.9581,0.8614,0.7982,1.069,1.1145,0.9123,1,1.0052,0.9755,0.9525
"met646",0.9569,1.0155,1.096,0.8876,0.8582,1.3016,2.4238,1.0363,0.8887,0.9917,1.0502,0.8793,0.9062,1.3555,2.2748,0.9877,0.9321,1.0319,1.0083,0.9084,0.9389,1.3316,2.3038,1.0238
"met647",0.5484,0.5484,0.7342,0.7127,0.9789,1.081,1.4526,1.0347,0.7279,0.5484,0.8257,0.8035,0.5926,0.5484,1.2773,0.5484,0.7314,1.3838,0.9191,1.2933,1.2851,0.9949,1.5192,1.3108
"met648",2.0501,1.0544,0.7658,1.0704,0.7794,1.4533,1.1738,1.7888,2.0658,0.9215,0.6364,2.0386,0.8917,1.7488,1.1376,1.7003,1.7139,0.8674,0.5008,1.4411,0.6845,1.2912,0.9076,1.4402
"met649",1.0356,0.9498,0.8398,0.5938,2.0523,1.1526,1.6858,0.7084,1.2993,1,0.6091,0.9621,1.441,1.4449,1.5446,0.8346,1.7783,1.0306,0.4788,0.8231,1.4052,1.488,1.0217,0.779
"met650",1.5978,1.2215,0.8884,0.9852,2.0417,1.0668,0.9817,0.9065,1.4309,1.1739,0.9258,1.326,1.7403,1.1083,0.8295,0.8218,1.941,1.2807,0.898,1.1483,1.2516,1.2556,0.6762,1.0148
"met651",0.934,1.3367,1.4878,1.149,1.4482,0.8535,1.0869,0.9914,0.8944,1.3079,1.5113,1.7584,1.5106,0.9341,1.1556,0.8308,1.0935,1.1483,1.3697,1.3318,0.7979,1.0086,0.8156,0.8585
"met652",0.8827,1.2278,1.23,1.2074,0.7403,0.5713,0.8516,1.0771,0.8899,1.2501,1.2908,1.3493,0.6761,0.6432,0.8208,1.0926,1.1229,1.2285,1.2794,1.2734,0.6488,0.7241,0.7016,1.0717
"met653",0.8317,1.7622,1.4716,1.329,0.6233,0.4391,0.5971,1.229,0.9205,1.7823,1.5352,1.5702,0.5857,0.6058,0.5356,1.0084,1.2613,1.7577,1.5393,1.4196,0.6448,0.618,0.3701,1.048
"met654",0.6047,1.2386,1.3785,0.9647,0.9889,0.5829,0.7328,1.0006,0.5987,1.2296,1.527,1.041,1.0159,0.716,0.6509,0.9382,0.8335,1.2347,1.4453,0.9895,0.9995,0.7506,0.5828,0.9529
"met655",0.601,1.5772,2.148,1.2592,0.7983,0.3987,0.9173,1.1997,0.614,1.9125,2.2317,1.4231,0.951,0.5051,0.7264,1.0194,0.9524,1.839,2.2471,1.1466,0.8202,0.5523,0.5559,1.0783
"met656",0.7391,1.154,1.1368,1.0251,0.6025,0.5532,0.8024,0.9771,0.7739,1.1379,1.1611,1.1181,0.6014,0.5986,0.7735,0.8862,0.9943,1.1219,1.2504,1.0497,0.6124,0.652,0.659,0.9643
"met657",0.8871,1.2499,1.1187,1.1833,0.8042,0.7109,0.8352,1.1111,0.9416,1.2425,1.1411,1.2632,0.786,0.7903,0.7943,1.0483,1.1456,1.193,1.1436,1.2024,0.7683,0.8658,0.7131,1.0309
"met658",0.8844,1.118,1.21,1.0139,0.9861,0.8172,0.8762,1.1223,0.8941,1.1292,1.2403,1.0507,0.9611,0.8729,0.8259,1.0839,1.0766,1.1183,1.2214,1.0812,0.8922,0.8885,0.7587,1.0561
"met659",0.815,1.2399,1.1528,1.1928,0.7357,0.5708,0.9679,1.0749,0.8439,1.2516,1.3086,1.3002,0.7252,0.6669,0.9171,1.0216,1.0301,1.2185,1.2601,1.2817,0.7072,0.6945,0.786,1.0334
"met660",0.7844,1.1592,1.2068,1.1666,0.9141,0.6989,1.0625,1.1029,0.7925,1.1489,1.144,1.1816,0.9298,0.7711,1.0481,1.0396,0.9466,1.1256,1.2665,1.1868,0.8463,0.7408,0.9182,1.0806
"met661",0.8022,1.0388,1.164,1.1952,0.973,0.8217,0.981,0.9905,0.8938,1.1057,1.2461,1.2393,0.9735,0.8877,1.016,1.0095,0.9429,1.1248,1.0966,1.2491,0.9564,0.9349,0.8826,1.0941
"met662",0.6701,0.9642,1.161,0.99,1.0408,0.759,0.8984,1.0808,0.7682,1.2356,1.1139,1.1821,0.8192,0.6195,0.8693,0.7979,0.8168,1.2332,1.1896,0.9562,0.9139,0.8374,0.7483,1.01
"met663",0.9223,1.4436,1.5259,1.3697,0.8122,0.5687,0.9756,1.318,0.9736,1.4942,1.6173,1.4899,0.8101,0.6711,0.8795,1.176,1.3454,1.5117,1.61,1.4094,0.7591,0.6856,0.7506,1.2181
"met664",0.7573,1.0886,1.173,1.057,0.7788,0.6921,0.9402,1.052,0.7843,1.0923,1.2474,1.0954,0.7815,0.7903,0.8972,0.974,0.9381,1.1154,1.2452,1.0603,0.7723,0.8139,0.7539,1.0056
"met665",0.7332,1.0184,1.0381,1.0804,0.8361,0.7152,0.9476,0.9863,0.8079,1.0842,1.0764,1.0984,0.8058,0.7543,0.9077,1.0114,0.8757,1.001,0.999,1.1468,0.8155,0.7726,0.8506,1.0112
"met666",0.6604,1.1033,1.1315,1.0196,1.02,0.6931,0.8708,0.9584,0.7502,1.0533,1.2526,1.1117,0.9593,0.7168,0.81,0.8723,0.8504,1.0977,1.2347,1.0923,0.9804,0.8692,0.7046,0.8834
"met667",1.1304,1.2082,1.572,2.8851,0.7206,0.8193,0.9747,0.9743,1.1877,1.2698,1.8459,3.2039,0.7786,0.9272,0.7794,0.9155,1.4156,1.343,1.6572,2.7854,0.7702,1.0787,0.6772,0.9414
"met668",0.5655,1.458,1.4086,1.0337,0.653,0.3828,0.6002,0.9664,0.6222,1.5774,1.9862,1.2135,0.6554,0.4841,0.5053,0.9482,0.9291,1.5108,1.5218,1.0516,0.5832,0.5328,0.4281,0.8909
"met669",0.8238,1.1553,1.3718,1.1134,0.9236,0.7659,0.9647,1.1164,0.843,1.0672,1.351,1.2013,0.9081,0.8296,0.9314,1.0234,1.0869,1.0831,1.4855,1.1429,0.8991,0.8792,0.7877,1.1218
"met670",0.7249,1.2206,1.2962,1.2462,0.8948,0.5579,0.6638,1.0393,0.6949,1.1929,1.3232,1.3167,0.8729,0.632,0.6216,0.9137,0.9622,1.2137,1.4319,1.2427,0.8664,0.693,0.5291,0.9926
"met671",0.9338,1.347,1.2523,1.2232,0.8555,0.6751,1.036,1.2574,0.964,1.2733,1.4174,1.2971,0.8206,0.7852,0.9492,1.175,1.2321,1.2922,1.3668,1.3107,0.7936,0.8166,0.8376,1.1702
"met672",0.814,1.1784,1.3515,1.1186,0.7677,0.556,0.9097,1.1626,0.8694,1.1449,1.3521,1.1703,0.8143,0.671,0.818,1.0292,1.1789,1.2275,1.3134,1.0798,0.7389,0.7452,0.6985,1.08
"met673",0.8048,1.0825,0.975,0.986,0.6837,0.6184,0.8766,1.116,0.8253,1.0769,1.0925,1.0344,0.7187,0.6824,0.7926,0.9995,1.0061,1.0868,1.1067,0.9975,0.6863,0.7496,0.7419,1.0562
"met674",0.6961,1.0635,1.1355,1.1003,0.988,0.7246,0.9382,1.0236,0.7481,1.0534,1.2357,1.14,0.9985,0.8163,0.9032,0.9247,0.884,1.0874,1.2089,1.0977,1.0016,0.849,0.7408,0.9628
"met675",0.7508,1.0096,1.1196,1.049,0.9355,0.8241,0.9966,1.0532,0.815,1.0681,1.2752,1.1362,1.0032,0.7947,0.9537,1.0882,0.8151,0.9497,1.2079,1.1272,1.0874,0.9578,0.804,0.9968
"met676",1.4754,1.1114,0.8446,0.7512,1.9501,1.104,1.0417,0.9714,1.4385,1.1164,0.7908,1.07,1.5734,1.2161,0.9215,0.8178,1.7484,1.0842,0.7764,0.9774,1.1787,1.2831,0.815,1.0226
"met677",1.0821,0.9191,0.9628,0.9748,1.3468,1.2609,1.2821,0.9918,1.1572,1.1023,1.1136,1.2299,1.1727,1.161,1.1461,0.9727,0.9771,0.8905,0.9259,1.0082,0.8469,1.2375,1.2819,0.9773
"met678",0.8263,1.0718,1.0761,1.0447,0.8335,0.9264,3.226,0.979,0.776,1.0306,1.0156,1.1326,0.8368,0.9543,3.1271,0.8738,0.8031,1.0048,0.9952,1.1671,0.8238,0.9222,3.0071,0.944
"met679",0.904,0.7339,0.906,0.8802,0.8942,0.973,1.0694,1.1166,1.3615,0.8316,0.8456,0.9899,0.8342,1.1095,1.0729,0.9102,1.0287,0.8583,0.9086,1.0189,0.8182,1.1342,1.1617,1.0011
"met680",1.5462,0.6518,0.5984,0.8983,0.4784,0.8749,1.2738,0.9818,2.3641,0.8159,1.0183,1.3827,0.5721,0.9437,0.6413,1.1347,1.035,0.9374,0.519,0.5793,0.8479,1.0234,0.7347,1.0425
"met681",0.9072,1.0841,1.1583,1.1129,0.9819,0.7382,0.9059,1.0372,1.0181,1.0572,0.9687,1.2572,0.9445,0.7964,0.9163,0.9489,1.1548,1.0563,1.2077,1.1921,0.9466,0.9074,0.8283,1.1339
"met682",0.8191,1.1693,1.1612,1.1241,0.8574,0.7305,0.888,1.0956,0.859,1.1959,1.2275,1.1656,0.8638,0.8011,0.8374,1.0808,0.9586,1.1854,1.2029,1.1666,0.8366,0.8105,0.7917,1.1113
"met683",0.8665,1.0271,0.932,0.8316,1.1998,0.9218,0.9578,1.0254,0.8634,1.015,1.1092,0.9447,1.3078,1.0325,0.985,0.9733,1.1754,1.0252,1.2225,1.0509,1.2603,1.1359,1.0263,1.3231
"met684",0.8386,0.9947,0.9524,0.909,1.2335,0.8852,0.9028,1.0819,0.8994,1.0601,1.0793,0.9538,1.4704,1.0627,0.9615,1.0053,1.1008,1.1457,1.2094,1.1644,1.3061,1.1051,0.9204,1.5326
"met685",0.8262,0.8353,1.0541,0.9214,1.0625,0.9674,1.3765,1.0938,0.7834,0.8218,1.0523,1.0314,1.0122,0.997,1.1181,0.962,0.9726,0.8415,1.003,0.8605,0.9779,1.0096,1.2566,0.9149
"met686",0.2556,0.6781,1.3871,1.195,0.418,1.0583,0.9628,0.4964,0.4123,1.0675,2.8864,1.852,0.7314,1.4686,1.1165,0.9124,0.5643,0.8219,2.5523,1.3694,0.5779,1.6508,1.475,1.689
"met687",1.0694,0.9056,1.2187,1.2717,1.5398,0.8337,0.7624,0.8451,1.3091,1.3481,1.3998,1.2594,1.3271,1.0532,0.6026,0.6431,0.9468,1.1957,1.2145,1.0591,1.856,0.8994,0.6695,0.5987
"met688",0.9409,0.879,0.8252,1.2307,0.9766,1.1382,0.9125,1.0139,1.2573,0.978,0.9254,1.2274,1.0303,1.0104,1.0155,1.0453,0.8285,0.9016,0.9765,1.0079,0.8656,1.0768,0.9921,1.0295
"met689",0.7158,0.7913,0.8945,0.8326,0.7254,1.0722,1.8361,1.3043,0.7495,0.3767,0.3767,0.3767,0.3767,1.3225,1.6812,0.9463,1.4424,1.0924,0.6886,1.0495,0.538,1.7103,2.6416,1.0775
"met690",1.7125,1.366,0.8247,0.838,1.0135,1.3121,1.0643,0.922,1.4764,1.3096,0.7991,1.1859,0.9865,1.4219,1.048,0.9163,1.6092,1.3329,0.8043,1.0649,0.8504,1.3654,1.1435,0.9588
"met691",0.909,0.8191,1.3066,1.0909,0.941,1.3287,1.3095,0.9908,1.0481,0.9116,1.1067,0.9665,0.9324,1.2276,1.1392,1.3287,1.0092,1.1998,1.4563,0.8188,0.5918,1.131,1.7419,0.9662
"met692",1.0459,0.9898,1.0259,1.686,1.7189,2.1646,0.5543,1.0549,1.0629,0.8539,0.9108,1.6459,1.7333,2.1284,0.4783,1.0179,0.9313,0.8582,0.8046,1.5696,1.7731,2.0607,0.9681,1.0102
"met693",1.0705,1.1476,0.9719,1.3346,0.9979,0.9678,1.0021,0.9239,1.1112,1.1498,0.9694,1.4429,0.9977,0.9936,0.9432,0.8595,1.0254,1.1607,0.9109,1.3019,0.952,0.9601,1.0181,0.8419
